tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes
tt0094606,theaccidentaltourist,1988,"Comedy,Drama,Romance",6.7,0,16.52356082573315,1,0,0,0,0,121
tt0094947,dangerousliaisons,1988,"Drama,Romance",7.5,0,16.55400184923556,0,0,0,0,0,119
tt0095647,mississippiburning,1988,"Crime,Drama,Mystery",7.8,0,16.52356082573315,1,0,0,0,0,128
tt0095953,rainman,1988,Drama,8.0,1,17.034386422832473,1,0,1,0,1,133
tt0096463,workinggirl,1988,"Comedy,Drama,Romance",6.8,1,16.55400184923556,0,0,0,1,0,113
tt0096969,bornonthefourthofjuly,1989,"Biography,Drama,War",7.2,1,16.694709071442087,0,0,1,0,0,145
tt0097165,deadpoetssociety,1989,"Comedy,Drama",8.1,0,16.612791953770035,0,1,0,0,0,128
tt0097239,drivingmissdaisy,1989,"Comedy,Drama",7.3,0,15.830413711839864,0,0,0,1,1,99
tt0097351,fieldofdreams,1989,"Drama,Family,Fantasy",7.5,0,16.85725140047751,1,0,0,0,0,107
tt0097937,myleftfoot,1989,"Biography,Drama",7.8,0,13.304686600863562,0,0,0,0,0,103
tt0099077,awakenings,1990,"Biography,Drama",7.8,0,17.249497794707484,2,0,0,0,0,121
tt0099348,danceswithwolves,1990,"Adventure,Drama,Western",8.0,1,16.906553056777135,0,0,1,0,1,181
tt0099653,ghost,1990,"Drama,Fantasy,Romance",7.1,0,16.906553056777135,0,0,0,0,0,126
tt0099674,thegodfatherpartiii,1990,"Crime,Drama",7.6,1,17.804494623047066,1,0,0,0,0,162
tt0099685,goodfellas,1990,"Biography,Crime,Drama",8.7,0,17.034386422832473,2,1,0,0,0,145
tt0101414,beautyandthebeast,1991,"Animation,Family,Fantasy",8.0,0,17.034386422832473,0,0,1,1,0,84
tt0101516,bugsy,1991,"Biography,Crime,Drama",6.8,1,17.112992198157652,1,0,1,0,0,136
tt0102138,jfk,1991,"Drama,History,Thriller",8.0,1,17.112992198157652,3,0,0,0,0,189
tt0102713,theprinceoftides,1991,"Drama,Romance",6.8,0,17.112992198157652,1,0,0,0,0,132
tt0102926,thesilenceofthelambs,1991,"Crime,Drama,Horror",8.6,1,16.759949589762293,1,0,0,0,1,118
tt0104036,thecryinggame,1992,"Crime,Drama,Romance",7.2,0,17.088874605995333,0,0,0,0,0,112
tt0104257,afewgoodmen,1992,"Drama,Thriller",7.7,0,17.088874605995333,2,0,0,0,0,138
tt0104454,howardsend,1992,"Drama,Romance",7.4,0,17.088874605995333,2,1,0,0,0,142
tt0105323,scentofawoman,1992,Drama,8.0,0,17.249497794707484,0,0,1,0,0,156
tt0105695,unforgiven,1992,"Drama,Western",8.2,1,16.48273883399067,1,0,0,0,1,130
tt0106977,thefugitive,1993,"Action,Crime,Drama",7.8,0,17.599700214609808,0,0,0,0,0,130
tt0107207,inthenameofthefather,1993,"Biography,Crime,Drama",8.1,0,17.188822770412813,1,0,0,0,0,133
tt0107822,thepiano,1993,"Drama,Music,Romance",7.5,0,17.188822770412813,0,0,0,0,0,121
tt0107943,theremainsoftheday,1993,"Drama,Romance",7.8,0,17.188822770412813,2,0,0,0,0,134
tt0108052,schindlerslist,1993,"Biography,Drama,History",9.0,1,17.034386422832473,1,1,1,0,1,195
tt0109830,forrestgump,1994,"Drama,Romance",8.8,1,17.822843761378564,3,0,1,0,1,142
tt0109831,fourweddingsandafuneral,1994,"Comedy,Drama,Romance",7.1,0,17.488641680506895,0,1,0,0,0,117
tt0110877,thepostmanilpostino,1995,"Biography,Comedy,Drama",7.8,0,17.33152364377269,0,0,0,0,0,108
tt0110912,pulpfiction,1994,"Crime,Drama",8.9,0,15.894952224644102,0,0,0,0,0,154
tt0110932,quizshow,1994,"Biography,Drama,History",7.5,1,17.249497794707484,1,0,0,0,0,133
tt0111161,theshawshankredemption,1994,Drama,9.3,0,17.034386422832473,0,0,0,0,0,142
tt0112384,apollo13,1995,"Adventure,Drama,History",7.7,0,17.9426449591384,2,0,0,0,0,140
tt0112431,babe,1995,"Comedy,Drama,Family",6.9,0,17.33152364377269,0,0,0,1,0,91
tt0112573,braveheart,1995,"Biography,Drama,War",8.3,1,17.989897843244528,0,0,0,0,1,178
tt0114388,senseandsensibility,1995,"Drama,Romance",7.7,0,17.33152364377269,1,1,1,0,0,136
tt0116209,theenglishpatient,1996,"Drama,Romance,War",7.4,1,17.182806422433504,0,1,1,0,1,162
tt0116282,fargo,1996,"Crime,Drama,Thriller",8.1,0,15.76142084987672,0,0,0,0,0,98
tt0116695,jerrymaguire,1996,"Comedy,Drama,Romance",7.3,0,17.72753358339242,0,0,0,0,0,139
tt0117589,secretslies,1996,"Comedy,Drama",8.0,0,15.319588176962746,0,0,0,0,0,136
tt0117631,shine,1996,"Biography,Drama,Music",7.6,0,17.68879275586601,0,0,0,0,0,105
tt0118799,lifeisbeautiful,1998,"Comedy,Drama,Romance",8.6,0,16.759949589762293,0,0,0,0,0,116
tt0119164,thefullmonty,1997,"Comedy,Drama",7.2,0,15.068273812173887,0,0,0,0,0,91
tt0119217,goodwillhunting,1997,"Drama,Romance",8.3,0,16.118095750958314,0,0,0,0,0,126
tt0119488,laconfidential,1997,"Crime,Drama,Mystery",8.2,0,17.58443274282867,1,0,0,0,0,138
tt0119822,asgoodasitgets,1997,"Comedy,Drama,Romance",7.7,1,17.72753358339242,3,0,0,1,0,139
tt0120338,titanic,1997,"Drama,Romance",7.9,1,19.11382792951231,1,1,1,0,1,194
tt0120689,thegreenmile,1999,"Crime,Drama,Fantasy",8.6,0,17.909855136853043,2,0,0,0,0,189
tt0120737,thelordoftheringsthefellowshipofthering,2001,"Adventure,Drama,Fantasy",8.9,0,18.34811006187022,0,1,0,0,0,178
tt0120815,savingprivateryan,1998,"Drama,War",8.6,1,18.064005814299346,2,0,1,0,0,169
tt0120863,thethinredline,1998,"Drama,History,War",7.6,0,17.76675429577647,0,0,0,0,0,170
tt0124315,theciderhouserules,1999,"Drama,Romance",7.4,0,16.993564429978885,1,0,0,0,0,126
tt0127536,elizabeth,1998,"Biography,Drama,History",7.4,0,17.797525953860475,0,0,0,0,0,124
tt0138097,shakespeareinlove,1998,"Comedy,Drama,History",7.1,0,17.034386422832473,1,1,0,1,1,123
tt0140352,theinsider,1999,"Biography,Drama,History",7.8,0,18.31532023940565,1,0,0,0,0,157
tt0167260,thelordoftheringsthereturnoftheking,2003,"Adventure,Drama,Fantasy",9.0,1,18.358805350872576,0,1,1,0,1,201
tt0167261,thelordoftheringsthetwotowers,2002,"Adventure,Drama,Fantasy",8.8,0,18.358805350872576,0,0,0,0,0,179
tt0167404,thesixthsense,1999,"Drama,Mystery,Thriller",8.2,0,17.50439003707821,0,0,0,0,0,107
tt0169547,americanbeauty,1999,Drama,8.3,1,17.723525562075203,1,1,1,0,1,122
tt0172495,gladiator,2000,"Action,Adventure,Drama",8.5,0,18.450239555902648,0,1,1,0,1,155
tt0181865,traffic,2000,"Crime,Drama,Thriller",7.5,1,17.82792175551341,1,0,0,0,0,147
tt0190332,crouchingtigerhiddendragon,2000,"Action,Adventure,Drama",7.9,0,16.52356082573315,0,0,0,0,0,120
tt0195685,erinbrockovich,2000,"Biography,Drama",7.5,1,17.82792175551341,0,0,0,0,0,131
tt0203009,moulinrouge,2001,"Drama,Musical,Romance",7.6,0,17.72753358339242,0,0,0,1,0,127
tt0217505,gangsofnewyork,2002,"Crime,Drama",7.5,0,18.390221546776935,1,0,0,0,0,167
tt0241303,chocolat,2000,"Drama,Romance",7.2,0,17.82792175551341,2,0,0,0,0,121
tt0247425,inthebedroom,2001,"Crime,Drama",7.4,0,17.926056515923204,2,0,0,0,0,131
tt0253474,thepianist,2002,"Biography,Drama,Music",8.5,1,17.370858648025116,0,1,0,0,0,150
tt0268978,abeautifulmind,2001,"Biography,Drama,Mystery",8.2,1,17.87595358575207,1,0,1,0,1,135
tt0274558,thehours,2002,"Drama,Romance",7.5,0,17.970218285603842,2,0,1,0,0,110
tt0280707,gosfordpark,2001,"Comedy,Drama,Mystery",7.2,0,16.801192546169812,2,0,0,0,0,137
tt0299658,chicago,2002,"Comedy,Crime,Musical",7.2,0,17.622173069956816,0,0,0,1,1,113
tt0308644,findingneverland,2004,"Biography,Drama,Family",7.6,0,17.034386422832473,3,0,0,0,0,106
