year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,true_winner,pred_winner
1998,0.16617743898601448,0,1.6577606532343214,-0.6715317874761784,0,0,0,1.5503990880825713,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1999,-0.15999728629645366,0,1.1452137688634636,0.37773663045535033,0,0,0,0.02982935833476563,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1998,-0.15999728629645366,0,1.5619178853574558,-0.6715317874761784,0,0,0,-0.039287447562861906,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,-0.6492593742201587,0,1.1722746321474544,0.37773663045535033,1,0,1,-0.07384585051167566,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1999,0.49235216426848405,0,2.0214045364725743,0.37773663045535033,0,0,0,1.1011398497479923,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,2.4494005159633,1,2.050230778751242,-0.6715317874761784,1,1,0,2.621709579495798,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1999,1.1447016148334217,0,1.4838396160937921,-0.6715317874761784,0,0,0,-0.6267802976926959,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1999,1.3077889774746587,1,1.576487683037562,0.37773663045535033,1,1,0,-0.10840425346048943,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2003,0.003090076344780414,0,2.3600303918050036,0.37773663045535033,0,0,0,0.4445301937205308,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0.6554395269097195,1,1.1722746321474544,0.37773663045535033,0,0,0,0.4445301937205308,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,-0.3230846489376891,0,1.850056439011085,0.37773663045535033,0,0,0,0.5136469996181583,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2003,0.32926480162724997,0,-0.04254187478675646,-0.6715317874761784,0,0,1,-0.7995723124367647,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0.49235216426848405,0,1.1722746321474544,1.427005048386879,0,0,0,1.4121654762873161,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,-0.4861720115789232,0,1.0722942750484743,0.37773663045535033,0,0,0,-0.21207946230693073,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,-0.15999728629645366,0,1.124167585468036,-0.6715317874761784,0,0,0,-1.0069227301296473,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1.1447016148334217,0,1.1722746321474544,-0.6715317874761784,0,0,0,1.135698252696806,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1.1447016148334217,0,1.1722746321474544,0.37773663045535033,0,0,0,-0.10840425346048943,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2007,0.49235216426848405,0,1.124167585468036,-0.6715317874761784,1,1,0,-0.07384585051167566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2008,0.16617743898601448,1,1.1722746321474544,-0.6715317874761784,0,0,0,-0.10840425346048943,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,0.16617743898601448,0,1.1722746321474544,-0.6715317874761784,0,0,0,-0.039287447562861906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2008,0.8185268895509537,0,0.8336487915461178,-0.6715317874761784,1,1,0,-0.17752105935811696,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2008,0.003090076344780414,0,1.1722746321474544,0.37773663045535033,0,0,0,0.09894616423239316,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
